,feature name,ratio
0,TotProb.CBCL,0.23929706
1,PPSP_frequency,0.092946055
2,poa_total_6month_follow_up,0.060818638
3,tfmri_mid_all_reward.pos.vs.neg.feedback_beta_cort.destrieux_s.collat.transv.ant.lh,0.058930221
4,tfmri_mid_all_reward.pos.vs.neg.feedback_beta_cort.destrieux_s.calcarine.rh,0.049120804
5,tfmri_mid_all_antic.large.vs.small.loss_beta_cort.destrieux_g.precentral.rh,0.047204744
6,tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_pole.occipital.rh,0.046716791
7,tfmri_mid_all_antic.large.vs.small.loss_beta_cort.destrieux_g.and.s.cingul.mid.ant.lh,0.041627439
8,tfmri_mid_all_antic.small.reward.vs.neutral_beta_cort.destrieux_g.front.inf.opercular.rh,0.039359513
9,nihtbx_picture_uncorrected,0.037040493
10,tfmri_mid_all_antic.large.loss.vs.neutral_beta_cort.destrieux_g.and.s.cingul.mid.post.lh,0.036713665
11,tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.temp.sup.plan.polar.rh,0.032743723
12,tfmri_mid_all_antic.reward.vs.neutral_beta_cort.destrieux_lat.fis.ant.vertical.rh,0.02251047
13,tfmri_mid_all_antic.large.vs.small.loss_beta_cort.destrieux_s.central.lh,0.019354386
14,nihtbx_picvocab_uncorrected,0.019190693
15,tfmri_mid_all_antic.small.reward.vs.neutral_beta_cort.destrieux_s.front.middle.lh,0.017485185
16,tfmri_mid_all_antic.large.vs.small.loss_beta_cort.destrieux_s.oc.sup.and.transversal.lh,0.015950929
17,tfmri_mid_all_antic.loss.vs.neutral_beta_cort.destrieux_s.postcentral.lh,0.015905539
18,tfmri_mid_all_antic.large.loss.vs.neutral_beta_cort.destrieux_s.circular.insula.inf.lh,0.014550109
19,PPSP_distress,0.009934626
0,AnxDep.CBCL,0.173084551
1,PPSP_frequency,0.126115574
2,Conduct.CBCL,0.106532752
3,TotProb.CBCL,0.098760932
4,Internal.CBCL,0.077774565
5,AnxDisord.CBCL,0.067350189
6,Social.CBCL,0.05603179
7,nihtbx_picture_uncorrected,0.043886853
8,Depress.CBCL,0.031708768
9,DA_baseline,0.025769694
10,nihtbx_picvocab_uncorrected,0.021520652
11,nihtbx_list_uncorrected,0.016339991
12,mania_score_1_year_follow_up,0.016194915
13,fes_6_p,0.015451198
14,Thought.CBCL,0.015286279
15,fes_7r_p,0.013224518
16,poa_total_6month_follow_up,0.011653994
17,totalBIS,0.010786192
18,HC_MIH,0.008449354
19,fes_1_p,0.00795494
0,tfmri_mid_all_antic.small.reward.vs.neutral_beta_cort.destrieux_g.occipital.sup.rh,0.094918727
1,tfmri_mid_all_antic.large.loss.vs.neutral_beta_cort.destrieux_g.oc.temp.lat.fusifor.rh,0.081295658
2,tfmri_mid_all_antic.loss.vs.neutral_beta_cort.destrieux_g.precuneus.lh,0.073650891
3,tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.postcentral.lh,0.071962746
4,tfmri_mid_all_loss.pos.vs.neg.feedback_beta_cort.destrieux_s.front.sup.lh,0.05664926
5,tfmri_mid_all_antic.large.loss.vs.neutral_beta_cort.destrieux_g.precentral.rh,0.039726318
6,tfmri_mid_all_antic.small.reward.vs.neutral_beta_cort.destrieux_s.collat.transv.post.lh,0.031470412
7,tfmri_mid_all_antic.large.loss.vs.neutral_beta_cort.destrieux_g.precuneus.rh,0.025486426
8,tfmri_mid_all_antic.small.reward.vs.neutral_beta_cort.destrieux_g.front.sup.rh,0.021920698
9,tfmri_mid_all_antic.large.vs.small.loss_beta_cort.destrieux_s.orbital.h.shaped.rh,0.020473815
10,tfmri_mid_all_antic.large.reward.vs.neutral_beta_cort.destrieux_g.ins.lg.and.s.cent.ins.lh,0.019685353
11,tfmri_mid_all_antic.reward.vs.neutral_beta_cort.destrieux_pole.temporal.rh,0.019204979
12,tfmri_mid_all_antic.loss.vs.neutral_beta_cort.destrieux_s.oc.temp.med.and.lingual.lh,0.019140479
13,tfmri_mid_all_antic.small.reward.vs.neutral_beta_cort.destrieux_s.precentral.sup.part.rh,0.018714829
14,tfmri_mid_all_antic.large.reward.vs.neutral_beta_cort.destrieux_s.central.rh,0.017520957
15,tfmri_mid_all_antic.small.reward.vs.neutral_beta_cort.destrieux_s.occipital.ant.lh,0.01723386
16,tfmri_mid_all_reward.pos.vs.neg.feedback_beta_cort.destrieux_g.and.s.frontomargin.lh,0.01712957
17,tfmri_mid_all_antic.large.loss.vs.neutral_beta_cort.destrieux_g.parietal.sup.lh,0.017086502
18,tfmri_mid_all_antic.reward.vs.neutral_beta_cort.destrieux_s.postcentral.lh,0.016486148
19,tfmri_mid_all_reward.pos.vs.neg.feedback_beta_cort.destrieux_s.temporal.inf.rh,0.01623787
